iter	Passed	Remaining
472	675	752
473	676	750
474	677	748
475	678	746
476	679	745
477	680	743
478	681	741
479	682	739
480	683	737
481	684	736
482	685	734
483	686	732
484	687	730
485	688	728
486	690	727
487	691	725
488	692	723
489	694	722
490	695	720
491	696	718
492	697	717
493	698	715
494	699	713
495	700	711
496	701	710
497	702	708
498	703	706
499	705	705
500	706	703
501	707	701
502	708	700
503	709	698
504	710	696
505	712	695
506	713	693
507	714	691
508	715	690
509	716	688
510	717	686
511	718	684
512	720	683
513	721	681
514	722	680
515	723	678
516	724	677
517	725	675
518	726	673
519	727	671
520	728	670
521	730	668
522	731	667
523	732	665
524	733	663
525	734	662
526	736	660
527	737	659
528	738	657
529	739	655
530	740	654
531	741	652
532	742	650
533	743	649
534	744	647
535	745	645
536	746	643
537	747	642
538	749	641
539	753	642
540	755	640
541	756	639
542	758	638
543	759	636
544	760	635
545	761	633
546	764	633
547	765	631
548	766	629
549	768	628
550	769	626
551	770	625
552	771	623
553	772	621
554	773	620
555	774	618
556	775	616
557	776	615
558	777	613
559	778	611
560	780	610
561	781	608
562	782	607
563	783	605
564	784	604
565	785	602
566	786	600
567	787	599
568	789	597
569	790	596
570	791	594
571	792	592
572	794	592
573	796	590
574	797	589
575	798	587
576	799	586
577	801	584
578	802	583
579	803	582
580	805	580
581	807	579
582	808	578
583	809	576
584	811	575
585	812	573
586	813	572
587	813	570
588	814	568
589	815	567
590	816	565
591	817	563
592	818	562
593	819	560
594	820	558
595	821	557
596	822	555
597	823	553
598	825	552
599	825	550
600	826	548
601	827	547
602	828	545
603	829	544
604	830	542
605	832	541
606	833	539
607	834	537
608	835	536
609	836	534
610	837	533
611	838	531
612	839	530
613	840	528
614	841	527
615	842	525
616	843	523
617	844	522
618	845	520
619	846	518
620	847	517
621	848	515
622	849	514
623	850	512
624	851	511
625	853	509
626	854	508
627	855	506
628	856	505
629	857	503
630	858	502
631	859	500
632	860	498
633	861	497
634	862	495
635	863	494
636	864	492
637	865	491
638	867	489
639	868	488
640	869	486
641	870	485
642	871	483
643	872	482
644	873	481
645	875	479
646	876	478
647	877	476
648	878	475
649	879	473
650	880	472
651	881	470
652	883	469
653	884	467
654	885	466
655	886	464
656	887	463
657	888	461
658	889	460
659	891	459
660	892	457
661	893	456
662	894	454
663	895	453
664	897	451
665	898	450
666	899	448
667	900	447
668	901	446
669	902	444
670	904	443
671	905	441
672	906	440
673	907	438
674	908	437
675	909	436
676	910	434
677	912	433
678	913	431
679	914	430
680	915	428
681	916	427
682	917	425
683	918	424
684	919	422
685	920	421
686	921	419
687	922	418
688	923	417
689	925	415
690	926	414
691	927	412
692	928	411
693	929	409
694	930	408
695	932	407
696	933	405
697	934	404
698	935	402
699	936	401
700	937	399
701	938	398
702	939	396
703	940	395
704	941	393
705	942	392
706	943	391
707	944	389
708	945	388
709	946	386
710	947	385
711	949	383
712	950	382
713	950	380
714	951	379
715	952	377
716	954	376
717	955	375
718	956	373
719	957	372
720	958	370
721	959	369
722	960	368
723	961	366
724	962	365
725	963	363
726	965	362
727	966	361
728	967	359
729	968	358
730	969	356
731	970	355
732	971	353
733	972	352
734	974	351
735	975	349
736	976	348
737	977	347
738	978	345
739	979	344
740	980	342
741	981	341
742	983	340
743	984	338
744	985	337
745	987	336
746	988	334
747	989	333
748	990	331
749	991	330
750	992	329
751	993	327
752	994	326
753	995	324
754	996	323
755	997	322
756	999	320
757	1001	319
758	1002	318
759	1003	316
760	1004	315
761	1005	314
762	1007	312
763	1008	311
764	1009	310
765	1010	308
766	1011	307
767	1012	305
768	1013	304
769	1015	303
770	1016	301
771	1017	300
772	1018	299
773	1019	297
774	1020	296
775	1022	295
776	1023	293
777	1024	292
778	1025	290
