iter	RMSE
0	20.38041929
1	20.34886439
2	20.32015594
3	20.28353822
4	20.25357615
5	20.21254026
6	20.16883099
7	20.12913973
8	20.09891421
9	20.07340074
10	20.04416826
11	20.01984981
12	20.00268411
13	19.97928171
14	19.96203219
15	19.94117563
16	19.91654085
17	19.88279522
18	19.85736059
19	19.83374196
20	19.81267313
21	19.78227715
22	19.76450254
23	19.74551509
24	19.72735565
25	19.70980419
26	19.68170155
27	19.65812128
28	19.63897267
29	19.61857262
30	19.59535677
31	19.57584879
32	19.55330368
33	19.53809716
34	19.50555032
35	19.48727778
36	19.4659358
37	19.443431
38	19.41446076
39	19.39548896
40	19.38020389
41	19.36254088
42	19.34546027
43	19.32421889
44	19.30474772
45	19.27980893
46	19.25419183
47	19.22974838
48	19.20385916
49	19.17457604
50	19.15588926
51	19.13956567
52	19.12257564
53	19.08951718
54	19.06962751
55	19.05457076
56	19.03259358
57	19.01502197
58	18.98952626
59	18.98126995
60	18.96772531
61	18.95620542
62	18.94208373
63	18.92541438
64	18.91274341
65	18.90270427
66	18.88823499
67	18.87288847
68	18.85651812
69	18.83076058
70	18.8128911
71	18.79634327
72	18.7721772
73	18.75812931
74	18.74258001
75	18.7204107
76	18.70052754
77	18.68726507
78	18.67788481
79	18.66229481
80	18.66122843
81	18.64370841
82	18.6274578
83	18.61628892
84	18.59940994
85	18.58660759
86	18.56972336
87	18.55459076
88	18.53869203
89	18.51700701
90	18.50286019
91	18.49272294
92	18.48016772
93	18.47166092
94	18.45176581
95	18.44277382
96	18.43921467
97	18.4372772
98	18.42525759
99	18.40691922
100	18.39457073
101	18.38079116
102	18.36088348
103	18.34969019
104	18.34073869
105	18.32472329
106	18.31401986
107	18.29534415
108	18.27653491
109	18.26101156
110	18.24520962
111	18.22793473
112	18.21699886
113	18.20672988
114	18.19313188
115	18.1736999
116	18.1639978
117	18.1473972
118	18.13963706
119	18.12130365
120	18.10368659
121	18.09291592
122	18.07890603
123	18.06387725
124	18.04860948
125	18.03479254
126	18.01701714
127	18.00189698
128	17.98922156
129	17.97812774
130	17.94981818
131	17.92819848
132	17.91158357
133	17.89263267
134	17.88492144
135	17.87330392
136	17.86183036
137	17.84774691
138	17.83070316
139	17.81133406
140	17.7914525
141	17.77810336
142	17.76553256
143	17.75101314
144	17.74244962
145	17.72914209
146	17.72081029
147	17.6997256
148	17.68824426
149	17.67039967
150	17.66254055
151	17.64702824
152	17.62934066
153	17.6172156
154	17.6015671
155	17.58595608
156	17.56977015
157	17.55362817
158	17.53597469
159	17.52304676
160	17.51159443
161	17.50013258
162	17.47304045
163	17.46125705
164	17.44513156
165	17.43324223
166	17.42353979
167	17.41120579
168	17.39711298
169	17.38477498
170	17.366403
171	17.35284578
172	17.3397572
173	17.32471455
174	17.31735753
175	17.2960092
176	17.274711
177	17.25876219
178	17.24447631
179	17.2291655
180	17.21078283
181	17.19616602
182	17.18008158
183	17.16792389
184	17.14962304
185	17.13817944
186	17.12470737
187	17.10877441
188	17.09492302
189	17.08275516
190	17.06919594
191	17.05471731
192	17.04373434
193	17.02817679
194	17.0142895
195	16.99858563
196	16.98652357
197	16.97274586
198	16.95989029
199	16.94166073
200	16.92593055
201	16.91390444
202	16.90201108
203	16.88099243
204	16.86371589
205	16.84658297
206	16.82865882
207	16.81198428
208	16.80226961
209	16.78953835
210	16.77730701
211	16.76416666
212	16.75561788
213	16.74410821
214	16.73213882
215	16.71241156
216	16.69508987
217	16.68197874
218	16.66512373
219	16.64945255
220	16.63148559
221	16.61532836
222	16.60356159
223	16.59451483
224	16.57660354
225	16.56695227
226	16.55264214
227	16.53772465
228	16.52077978
229	16.50700399
230	16.49239337
231	16.47863386
232	16.46270024
233	16.44904029
234	16.43428052
235	16.41929982
236	16.40628663
237	16.39098969
238	16.38062475
239	16.36665909
240	16.35222023
241	16.33856044
242	16.3260259
243	16.31823708
244	16.30619582
245	16.29252193
246	16.27630004
247	16.26518586
248	16.25205678
249	16.23782816
250	16.22568697
251	16.2164705
252	16.20913065
253	16.19446224
254	16.18553231
255	16.16957349
256	16.15928413
257	16.14327677
258	16.12727286
259	16.11365428
260	16.09752339
261	16.08073843
262	16.0677496
263	16.0481381
264	16.03240891
265	16.02151794
266	16.00345572
267	15.99316627
268	15.9834134
269	15.9762714
270	15.96034569
271	15.94957305
272	15.94018756
273	15.92787173
274	15.92031931
275	15.90825919
276	15.89936608
277	15.88436402
278	15.87735418
279	15.86743993
280	15.85374521
281	15.84537524
282	15.83490179
283	15.82566943
284	15.81361941
285	15.80487792
286	15.79315048
287	15.77852419
288	15.76164795
289	15.7557166
290	15.74774594
291	15.73422634
292	15.72379857
293	15.71260381
294	15.70034674
295	15.68897248
296	15.67994407
297	15.66641264
298	15.65906923
299	15.64799987
300	15.63290832
301	15.62369091
302	15.61056205
303	15.5982801
304	15.59130158
305	15.5788229
306	15.57284546
307	15.5635794
308	15.55149493
309	15.53795066
310	15.52933675
311	15.5151288
312	15.49720471
313	15.48906303
314	15.47547156
315	15.46460829
316	15.45510513
317	15.44843228
318	15.43623965
319	15.42758086
320	15.41947569
321	15.40186185
322	15.38428727
323	15.37018484
324	15.35906188
325	15.34576406
326	15.3326847
327	15.320287
328	15.30427726
329	15.29212978
330	15.28290007
331	15.27106651
332	15.26487337
333	15.25211231
334	15.24320665
335	15.22925817
336	15.21730547
337	15.20816521
338	15.2015358
339	15.19553279
340	15.18596915
341	15.17231836
342	15.16385945
343	15.15197198
344	15.13768594
345	15.11801851
346	15.10815804
347	15.10190231
348	15.09136603
349	15.08135718
350	15.06908892
351	15.05466876
352	15.04488121
353	15.03568311
354	15.025337
355	15.02014465
356	15.00598516
357	14.99454448
358	14.98467225
359	14.97502709
360	14.96672881
361	14.95930684
362	14.95278551
363	14.94211449
364	14.93459603
365	14.92465334
366	14.91327416
367	14.9015175
368	14.88657707
369	14.87541632
370	14.86409569
371	14.84844344
372	14.83921678
373	14.83065829
374	14.81990678
375	14.81161625
376	14.80576951
